,sentence_id,text,type
0,0,Trine,PER
1,9,Jørgen Jensen,PER
2,10,J. Jensen,PER
3,17,Trine,PER
4,19,Fårup,LOC
5,19,Andres Andersen,PER
6,21,Anders Thøjsen,PER
7,21,Kirkeby,LOC
8,23,Trine,PER
9,24,Gaansager,LOC
10,29,Uffe,PER
11,29,Bodil,PER
12,30,Chr. Bejers,PER
13,30,Vesterbek,LOC
14,36,Trine,PER
15,37,Peter,PER
16,39,Trine,PER
17,43,Uffe,PER
18,50,Uffe,PER
19,52,Trine,PER
20,54,Roager,PER
21,56,Thomas Nielsen,PER
22,56,Graansager,LOC
23,57,Thomas,PER
24,59,Trine,PER
25,60,Maren,PER
26,60,dia,PER
27,65,Peter,PER
28,66,Jorgen Jensen,PER
29,67,Trine,PER
30,68,Skærbæk,LOC
31,69,Vodder,LOC
32,69,Thomas Nielsen,PER
33,70,Johanne,PER
34,70,Ellen,PER
35,71,Gud,PER
36,72,Iver,PER
37,74,Ester,PER
38,74,Frifelt,LOC
39,79,Uffe,PER
40,80,Trine,PER
41,84,Trine,PER
42,89,Truls,PER
43,90,Uffe,PER
44,91,J. Thøjsen,PER
45,97,Trine,PER
46,99,Trine,PER
47,100,Maren Fog,PER
48,101,Trine,PER
49,103,Koager,LOC
50,105,Uffe,PER
51,106,Peter,PER
52,107,Trine,PER
53,108,Tor,PER
54,109,Søren Stenderup,PER
55,110,Laurids,PER
56,111,Laurids St.,PER
57,118,Laurids,PER
58,123,Iver,PER
59,124,Trine,PER
60,126,Jeppe Vinds,PER
61,128,Trine,PER
62,130,Trine,PER
63,132,Peter,PER
64,133,Trine,PER
65,137,Hoager,LOC
66,139,Signe,PER
67,140,Niels,PER
68,143,Uffe,PER
69,145,Bodil,PER
70,148,Frifeld,LOC
71,151,Havnholdt,LOC
72,152,Peter,PER
73,154,Trine,PER
74,155,Maren Fog,PER
75,156,Trine,PER
76,158,Koager,LOC
77,160,Uffe,PER
78,161,Peter,PER
79,162,Trine,PER
80,164,Uffe korn,PER
81,164,Trine,PER
82,166,Dorthea T.,PER
83,167,Uffe,PER
84,168,vj,PER
85,168,Trine,PER
86,173,Agnes,PER
87,176,Niels Kjær,PER
88,179,Peter,PER
89,184,Trine,PER
90,187,Trine,PER
91,189,Lundsmark,LOC
92,191,Signe,PER
93,192,Roager,PER
94,193,Iver,PER
95,194,Vodder,LOC
96,195,Uffe,PER
97,195,Frifeldt,PER
98,197,Uffe,PER
99,202,Lundsmark,LOC
100,203,Maren Fog,PER
101,208,Trine,PER
102,209,Trine,PER
103,213,Trine,PER
104,214,P.Højer,PER
105,218,Uffe,PER
106,218,Bodil,PER
107,219,jog,ORG
108,219,Ryslinge,LOC
109,219,Uffe,PER
110,219,P. Barsballe,PER
111,221,Ribe,LOC
112,222,Maren Fog,PER
113,222,Uffe,PER
114,224,Trine,PER
115,229,Bodil,PER
116,230,Trine,PER
117,235,Rusland,LOC
118,238,Rusland,LOC
119,242,Trine,PER
120,252,Gud,PER
121,253,buroet,LOC
122,253,Trine,PER
123,258,Skærbæk,LOC
124,259,Trine,PER
125,260,j eg,PER
126,262,Uffe,PER
127,264,Bodil,PER
128,272,Trine,PER
129,276,Vodder,LOC
130,281,Trine,PER
131,283,Vodder,LOC
132,285,Chr. Lastejn,PER
133,285,Birkelev,LOC
134,286,Bodil,PER
135,286,Truls,PER
136,286,Bodil,PER
137,288,Thomas,PER
138,288,Døstrup,LOC
139,290,Trine,PER
140,293,Trine,PER
141,294,Maren,PER
142,296,Povl,PER
143,296,Asta,PER
144,296,Povl,PER
145,298,Trine,PER
146,301,Truls,PER
147,310,Trine,PER
148,311,Birkelev,LOC
149,313,Vodder-Spandet Sogn,LOC
150,315,Peter,PER
151,316,Bodil,PER
152,316,Truls,PER
153,316,Birkelev,LOC
154,323,Bodil,PER
155,325,Jens Thøjsen,PER
156,328,Jens,PER
157,328,Kirstine,PER
158,328,Søren,PER
159,328,Stine Jensen,PER
160,330,Frifeld,LOC
161,330,Niels Kjær,PER
162,335,Bodil,PER
163,337,Ribe,LOC
164,346,Truls,PER
165,346,Johanne,PER
166,347,Bodil,PER
167,347,Uffe,PER
168,348,Trine,PER
169,351,Trine,PER
170,359,Trine,PER
171,373,Peter,PER
172,382,U.,PER
173,382,B.,PER
174,383,Uffe,PER
175,384,Bodil,PER
176,385,Trine,PER
177,386,Niels Kjær,PER
178,386,Sine,PER
179,391,Bodil Varming,PER
180,395,Toftlund,LOC
181,396,Skærbæk,LOC
182,398,Kirstine L.,PER
183,401,Anes,PER
184,401,Sokolade,PER
185,405,Ane Trulsen,PER
186,405,Ravnholdt,PER
187,410,Trine,PER
188,414,Trine,PER
189,427,Hans,PER
190,427,Åge,PER
191,427,Kirstine,PER
192,434,Trine,PER
193,439,Trine,PER
194,441,Uffe,PER
195,441,Trine,PER
196,443,Trine,PER
197,449,Hans,PER
198,449,Age,PER
199,451,Uffe,PER
200,453,Skibelund,LOC
201,458,Peter,PER
202,459,Frifeldt,PER
203,460,Toftlund,LOC
204,466,Uffe,PER
205,467,Trine,PER
206,477,Uffe,PER
207,477,B.,PER
208,480,Fyn,LOC
209,481,Uffe,PER
210,488,Signe,PER
211,489,Stavnskov,LOC
212,489,Trine,PER
213,497,Skærbæk,LOC
214,501,Uffe,PER
215,505,Uffe,PER
216,505,Iver,PER
217,508,Peter,PER
218,514,Ravnholdt,PER
219,515,Jens Bennedsen,PER
220,520,Kirstine,PER
221,525,Uffe,PER
222,529,Agnete J.,PER
223,532,Uffe,PER
224,535,Skærbæk,LOC
225,537,Uffe,PER
226,538,Skærbæk,LOC
227,539,Birkelev,LOC
228,542,Østergaarden,PER
229,545,Peter,PER
230,546,Hørve,LOC
231,551,Trine,PER
232,556,Trine,PER
233,559,Trine,PER
234,566,Trine,PER
235,568,Uffe,PER
236,569,Uffe,PER
237,571,Vig,LOC
238,574,Sine,PER
239,578,Kirsten,PER
240,579,Uffe,PER
241,581,Uffes,PER
242,585,Sangforeningen,ORG
243,595,Gud,PER
244,596,Trine,PER
245,601,Skærbæk,LOC
246,606,Flensborg,LOC
247,607,Vallekilde,LOC
248,608,Fyn,LOC
249,619,Peter,PER
250,621,Peder Jensen,PER
251,628,Sigrid,PER
252,631,Niels,PER
253,631,Maren Hansen,PER
254,632,Trine,PER
255,636,Trine,PER
256,640,Fyn,LOC
257,642,Uffe,PER
258,642,Korsør,LOC
259,645,Sigrid,PER
260,646,Trine,PER
261,647,Peter,PER
262,649,Fyn,LOC
263,653,Trine,PER
264,655,Fyn,LOC
265,655,Sønderjylland,LOC
266,656,Altona,LOC
267,661,Sine,PER
268,662,Nicolaj Thyssen,PER
269,663,Iver,PER
270,667,Kjesten,PER
271,669,Peter,PER
272,670,Trine,PER
273,675,Altona,LOC
274,684,Sigrid,PER
275,687,Trine,PER
276,691,Uffe,PER
277,693,Maren,PER
278,711,Bodil,PER
279,712,Uffe,PER
280,713,Uffe,PER
281,714,Bodil,PER
282,720,Niels Kjær,PER
283,721,Kjestine Lastejn,PER
284,723,Kjestine Lastejn,PER
285,723,Frifeld,LOC
286,732,Svendsbjærg,PER
287,732,Uffe,PER
288,733,Fyn,LOC
289,735,Trier,PER
290,736,Trine,PER
291,737,Peter,PER
292,738,Trine,PER
293,742,Trine,PER
294,754,Trine,PER
295,759,Snertinge,LOC
296,770,Uffe,PER
297,774,Sine,PER
298,784,Uffe,PER
299,784,Bodil,PER
300,786,Augustinus,PER
301,789,Uffe,PER
302,790,Ejlif Trier,PER
303,792,Ivers,PER
304,792,Iver,PER
305,795,København,LOC
306,797,Hamborg,LOC
307,799,Højskolebladet,ORG
308,803,Fjenneslev,LOC
309,809,Niels Kjær,PER
310,810,Uffe,PER
311,811,Uffe,PER
312,811,Svendsbjerg,LOC
313,816,Kjestine Lastejn,PER
314,818,Råager,LOC
315,819,Uffe,PER
316,822,Brøns,PER
317,824,Bodil,PER
318,826,Uffe,PER
319,828,Signe,PER
320,830,Trine,PER
321,831,Musse,PER
322,834,Fyn,LOC
323,844,Gånsager,LOC
324,854,Postvæsenet,ORG
325,856,Storebælt,LOC
326,856,Sjælland,LOC
327,860,Nyborg,LOC
328,863,Bakkely Gård,LOC
329,863,Rejstrup,LOC
330,863,Hjulby,LOC
331,874,Ryslinge,LOC
332,875,Trier,PER
333,877,Niels,PER
334,877,Ryslinge,LOC
335,879,Anne Tønder,PER
336,880,Niels's,PER
337,886,Nyborg,LOC
338,887,Juelsberg skoven,LOC
339,888,Juelsberg skoven,LOC
340,893,Danmark,LOC
341,898,Fyn,LOC
342,904,Michelsen,PER
343,909,Jens Thøjsen,PER
344,912,Danmark,LOC
345,913,Christensen,PER
346,913,Obling,PER
347,915,København,LOC
348,918,Hans Jørgen,PER
349,920,Alfred Kjeistrup,PER
350,920,Nyborg,LOC
351,921,Nyborg,LOC
352,923,Fanø,LOC
353,924,Nyborg Banegård,LOC
354,925,Odense,LOC
355,927,Frederitcia,LOC
356,929,Jakob Villadsen,PER
357,930,Jakob,PER
358,932,Fyn,LOC
359,933,Ullerslev,LOC
360,935,Kerteminde,LOC
361,936,Niels,PER
362,936,Halvor,PER
363,936,Jens,PER
364,942,Peter,PER
365,943,Ribe,LOC
366,945,Trine,PER
367,947,Kjirsten,PER
368,949,Hans,PER
369,949,Aage,PER
370,954,Truls,PER
371,956,Kjirsten,PER
372,956,Truls,PER
373,960,Uffe,PER
374,961,Bodil,PER
375,961,Vodder,PER
376,962,Trine,PER
377,976,Trine,PER
378,978,Fyn,LOC
379,979,Ryslinge,LOC
380,981,Peter,PER
381,983,Niels,PER
382,988,Niels,PER
383,990,Niels,PER
384,992,Uffe,PER
385,992,Uffe,PER
386,993,Niels',PER
387,994,Peter,PER
388,996,Ringe,LOC
389,997,Niels,PER
390,999,Uffe,PER
391,1005,Langeje,LOC
392,1009,Uffe,PER
393,1009,Nyborg,LOC
394,1012,Danmark,LOC
395,1013,Jylland,LOC
396,1013,København,LOC
397,1019,Bakkely,PER
398,1022,Lyk,LOC
399,1023,Løtzen ligger,LOC
400,1027,Hamborg,LOC
401,1027,Rhinen,LOC
402,1037,Peter,PER
403,1038,Musk,PER
404,1042,Løtzen,PER
405,1048,mugle,PER
406,1053,Staden,LOC
407,1054,Elmshorn,LOC
408,1077,Peter,PER
409,1077,Petersen,PER
410,1077,Løtzen,LOC
411,1078,Petersen,PER
412,1091,Peter,PER
413,1098,Aabenraa,LOC
414,1100,Døstrup,LOC
415,1141,Kønigsberg,LOC
416,1144,Rusland,LOC
417,1148,Skærbæk,LOC
418,1173,Løtzen,LOC
419,1174,Rusland,LOC
420,1181,Poulsen,PER
421,1184,østen,LOC
422,1185,Peter,PER
423,1189,marsch,LOC
424,1199,Søren Tønder,PER
425,1199,Bodil,PER
426,1202,Peter,PER
427,1204,Jørn,PER
428,1204,Lautrup,LOC
429,1206,Løtzen,LOC
430,1226,Poulsen,PER
431,1226,Jørn,PER
432,1227,Jørgen,PER
433,1230,Løtzen,LOC
434,1241,snell,PER
435,1245,Peter,PER
436,1257,Poulsen,PER
437,1258,Poulsen,PER
438,1260,Ary s,PER
439,1266,Kosmorama,LOC
440,1273,Gybbe,LOC
441,1281,Poulsen,PER
442,1289,Poulsen,PER
443,1289,Mærsk,PER
444,1293,Arys,PER
445,1304,Musse,PER
446,1309,P. Jensen,PER
447,1312,Poulsen,PER
448,1314,Arys,PER
449,1321,Løtzen,PER
450,1323,Arys,LOC
451,1342,Løtzen,LOC
452,1346,Gud,PER
453,1346,Gud,PER
454,1348,P. Barsballe,PER
455,1350,Peter,PER
456,1356,Peters,PER
457,1358,Staden,LOC
458,1377,Sine Rahr,PER
459,1378,Asmus,PER
460,1379,Vallekilde,LOC
461,1381,Petersen,PER
462,1386,Peter,PER
463,1392,Konkordia,LOC
464,1418,Løtzen,LOC
465,1426,Feldvebel,PER
466,1428,Schlesvig,LOC
467,1429,Flensborg,LOC
468,1433,Poulsen,PER
469,1433,Petersen,PER
470,1436,V.C.,PER
471,1441,Peter,PER
472,1455,Ravnholdt,PER
473,1459,Niels Kjær,PER
474,1459,Roager Sogn,LOC
475,1463,Peter,PER
476,1464,Dilletanten,PER
477,1471,Feldveblen,PER
478,1474,Petersen,PER
479,1475,Poulsen,PER
480,1479,gud,PER
481,1483,Hejmdal,PER
482,1483,Schiffere,PER
483,1487,Løtzen,LOC
484,1491,Freja,PER
485,1491,Åbling Station,LOC
486,1495,Petersen,PER
487,1496,Poulsen,PER
488,1504,Mærsk,ORG
489,1543,Petersen,PER
490,1544,Poulsen,PER
491,1549,Peter,PER
492,1557,Arys,PER
493,1563,Hejmdal,PER
494,1570,Petersen,PER
495,1570,Arys,LOC
496,1580,N.Kjærs,PER
497,1581,Bøse,PER
498,1581,aa,PER
499,1585,Petersen,PER
500,1591,Arys,PER
501,1592,Peter,PER
502,1604,Løtzen,LOC
503,1604,Danzig,LOC
504,1608,Leutnanten,PER
505,1618,Maren,PER
506,1621,Kjærs,PER
507,1629,Peter,PER
508,1633,Trine,PER
509,1637,Hygum,LOC
510,1637,Kiel,LOC
511,1637,Vojens,LOC
512,1638,Skærbæk,PER
513,1643,Kirstens,PER
514,1643,Mads,PER
515,1645,Sine,PER
516,1657,Uffe,PER
517,1660,Uffe,PER
518,1662,Peter,PER
519,1666,N. Kjær,PER
520,1669,Peter,PER
521,1684,N. Kjær,PER
522,1685,H. Nissen,PER
523,1686,Ryslinge,LOC
524,1687,P. Christensen,PER
525,1702,Petersen,PER
526,1709,Hans Nissen,PER
527,1709,Ryslinge,LOC
528,1713,Berlin,LOC
529,1719,Berlin,LOC
530,1742,Kjærs,PER
531,1742,Elmshorn,LOC
532,1745,Gånsager,LOC
533,1751,Peter,PER
534,1760,Skærbæk,LOC
535,1762,Mærsk,PER
536,1762,Berlin,LOC
537,1762,Hamborg,LOC
538,1766,bægge,PER
539,1768,Petersen,PER
540,1774,Trine,PER
541,1776,Trine,PER
542,1777,Jens Thomsens,PER
543,1781,M.P.,PER
544,1793,N. Kjærs,PER
545,1801,Heinrich,PER
546,1811,Regimentsmus,PER
547,1817,Løtsens,LOC
548,1825,Elmshorn,LOC
549,1830,Rastenburg,LOC
550,1843,Peter,PER
551,1869,je,PER
552,1870,Uffe,PER
553,1872,Petersen,PER
554,1872,Poulsen,PER
555,1872,Petersen,PER
556,1873,Petersen,PER
557,1873,Skærbæk,LOC
558,1874,Uffe,PER
559,1874,Sigurd,PER
560,1875,Poulsen,PER
561,1877,Grandens,LOC
562,1892,Poulsen,PER
563,1892,Poulsen,PER
564,1892,Petersen,PER
565,1893,Petersen,PER
566,1894,Gefr,PER
567,1896,Poulsen,PER
568,1896,Raztenburg,LOC
569,1898,Nordslesvig,LOC
570,1918,Hamborg,LOC
571,1922,Petersen,PER
572,1922,Poulsen,PER
573,1923,Petersen,PER
574,1923,Arys,PER
575,1924,Øst-,LOC
576,1924,Vestpreussen,LOC
577,1938,H. Nissen,PER
578,1938,Uffe,PER
579,1944,Poulsen,PER
580,1944,Fyn,LOC
581,1944,Bakkely,LOC
582,1947,Peter,PER
583,1953,Poulsen,PER
584,1955,Dobbelpost,PER
585,1961,Arys,PER
586,1968,Berlin,LOC
587,1978,Poulsen,PER
588,1979,Petersen,PER
589,1979,Arys,PER
590,1980,P. Barsballe,PER
591,1988,Trine,PER
592,1993,Asmus,PER
593,1995,Sønderjylland,LOC
594,1995,Malmø,LOC
595,1996,Hans Nissen,PER
596,1997,Aabenrå,ORG
597,2001,Petersen,PER
598,2001,Poulsen,PER
599,2006,Kristine Larstejn,PER
600,2006,Roskilde,LOC
601,2007,Trine,PER
602,2010,Valdemar Nissen,PER
603,2015,Arys,LOC
604,2018,Peter,PER
605,2022,Elmshorn,ORG
606,2033,Oberstl,PER
607,2039,Petersen,PER
608,2039,Gefr,PER
609,2043,Peter,PER
610,2047,Lise,PER
611,2049,Lise,PER
612,2050,Nis Becks,PER
613,2064,Aryz,LOC
614,2071,Aryz,LOC
615,2073,Aryz,PER
616,2075,Peter,PER
617,2076,Aryz,PER
618,2082,Arys,PER
619,2083,Peter,PER
620,2104,Niels Skau,PER
621,2105,Vollau,PER
622,2105,Mads,PER
623,2105,Petersen,PER
624,2105,Poulsen,PER
625,2106,Niels Skau,PER
626,2114,Løtzen,PER
627,2115,Peter,PER
628,2120,Sparekassen,ORG
629,2121,Peter,PER
630,2125,Ole,PER
631,2133,Niels Skau,PER
632,2157,Hansens,PER
633,2161,Arys,PER
634,2161,Løtzen,LOC
635,2173,Maren,PER
636,2173,Løtzen,LOC
637,2175,Peter Mærsk,PER
638,2198,Gefr,ORG
639,2201,Arys.det,LOC
640,2205,Peter Mærsk,PER
641,2211,Vojens,LOC
642,2211,Stenderup,LOC
643,2215,Petersen,PER
644,2216,Poulsen,PER
645,2216,Callesen,PER
646,2217,Poulsen,PER
647,2217,Gefr,PER
648,2218,Poulsen,PER
649,2221,udlov,LOC
650,2222,Hans Nissen,PER
651,2222,Nordborg,LOC
652,2222,Kiel,LOC
653,2222,Rendsborg,LOC
654,2228,Trine,PER
655,2230,Iver,PER
656,2233,Madsen Barsballe,PER
657,2233,Stenderup,LOC
658,2238,Vojens,LOC
659,2238,Østerlindet,LOC
660,2241,Uffe,PER
661,2244,Trine,PER
662,2247,Truls,PER
663,2248,Truls,PER
664,2249,Truls,PER
665,2249,Sønderjylland,LOC
666,2253,herfra Løtzen,PER
667,2253,Vallekilde,LOC
668,2254,Peter,PER
669,2255,Hans Nissen,PER
670,2255,Kiel,LOC
671,2257,Feldveblen,PER
672,2259,Hauptmand Becker,PER
673,2262,Anders Thomsen,PER
674,2270,Feldveblen,ORG
675,2285,Peter,PER
676,2287,Trine,PER
677,2296,Vojens,LOC
678,2308,Signe,PER
679,2308,Jens Thomsens,PER
680,2310,Aa,PER
681,2311,Peter Maler,PER
682,2312,Uffe,PER
683,2325,Peter,PER
684,2326,Vojens,LOC
685,2332,Feldveblen,PER
686,2333,Pær,PER
687,2338,Arys,LOC
688,2344,Peter Mærsk,PER
689,2347,Rusland,LOC
690,2348,Guds,PER
691,2352,Trine,PER
692,2354,Gud,PER
693,2358,Løtzen,PER
694,2366,Peter,PER
695,2381,Peter,PER
696,2392,Gud,PER
697,2392,Gud,PER
698,2393,Gud,PER
699,2396,England,LOC
700,2396,Tyskland,LOC
701,2411,Buroet,LOC
702,2418,Løtzen,LOC
703,2418,Rhirn,LOC
704,2422,kommen,LOC
705,2426,Trine,PER
706,2427,Gud,PER
707,2428,Gud,PER
708,2431,Peter,PER
709,2437,buroet,LOC
710,2443,Altona,LOC
711,2447,Trine,PER
712,2451,Kanske,PER
713,2451,Bialla,LOC
714,2452,Nis Beck,PER
715,2452,Posthuset,LOC
716,2455,Østpreussen,LOC
717,2458,Lyk,LOC
718,2467,Rådhuset,LOC
719,2476,Gud,PER
720,2479,Bialla,ORG
721,2493,Bialla,LOC
722,2497,Bialla,LOC
723,2502,Peter,PER
724,2504,Bialla,LOC
725,2504,Johannisburg,LOC
726,2506,Peter,PER
727,2508,Allenstein,LOC
728,2522,Gud,PER
729,2529,Orlau,LOC
730,2557,Gud,PER
731,2558,Kanske,PER
732,2558,Orlau,LOC
733,2561,Peter,PER
734,2566,Gud,PER
735,2570,Gud,PER
736,2571,Orlau,LOC
737,2575,Peter,PER
738,2579,Allenstein,LOC
739,2580,Gud,PER
740,2585,Trine,PER
741,2588,Bialla,LOC
742,2588,Trine,PER
743,2591,Gud,PER
744,2592,Peter,PER
745,2594,Gud,PER
746,2607,Gud,PER
747,2608,Allenstein,LOC
748,2608,Allenstein,LOC
749,2616,Gud,PER
750,2620,Poulsen,PER
751,2621,frankrig,LOC
752,2621,Slesien,LOC
753,2623,Gud,PER
754,2632,Trine,PER
755,2637,Trine,PER
756,2642,Uffe,PER
757,2643,P. Jensen,PER
758,2646,Ellens,PER
759,2647,Peter,PER
760,2648,Gud,PER
761,2650,Iver,PER
762,2651,Ellen,PER
763,2655,Signe,PER
764,2657,Dagny Jensen,PER
765,2658,Kristine Rahrs,PER
766,2658,Johanne Skovs plads,PER
767,2659,Fyn,LOC
768,2659,Dagny,PER
769,2659,Sigrid Nielsen,PER
770,2660,Maren Bøjlesen,PER
771,2662,Sigrid,PER
772,2662,Sinna,PER
773,2662,Povl,PER
774,2662,Nekselø,LOC
775,2663,Sigrid,PER
776,2663,Povl,PER
777,2665,Niels,PER
778,2668,Elisabeth,PER
779,2668,Fyn,LOC
780,2671,Henrik Nielsens,PER
781,2673,Niels,PER
782,2674,Maren Bøjlesen,PER
783,2679,Peter,PER
784,2697,Trine,PER
785,2698,Peter,PER
786,2699,Refsau,LOC
787,2699,Rehsau,LOC
788,2700,Darkehmen,PER
789,2701,Trine,PER
790,2724,Japan,LOC
791,2724,Tyrkiet,LOC
792,2724,Rusland,LOC
793,2724,Rusland,LOC
794,2725,Peter,PER
795,2728,Angerborg,LOC
796,2735,Løtzen,LOC
797,2735,Galitein,LOC
798,2738,Sibirien,LOC
799,2741,Østerrig,LOC
800,2744,Japan,LOC
801,2744,Tyrkiet,LOC
802,2751,Peter,PER
803,2756,Trine,PER
804,2757,Thorn,LOC
805,2760,Gud,PER
806,2762,Uffe,PER
807,2763,Uffe,PER
808,2763,Ravnhold,LOC
809,2763,Åbling,LOC
810,2765,Trine,PER
811,2766,Trine,PER
812,2767,Trine,PER
813,2767,Trine,PER
814,2768,Trine,PER
815,2769,Trine,PER
816,2770,Tr.,PER
817,2770,Bejers,PER
818,2773,Trine,PER
819,2773,Gud,PER
820,2774,Trine,PER
821,2775,Trine,PER
822,2776,Peter,PER
823,2780,Rusland,LOC
824,2783,Peter,PER
825,2785,Rusland,LOC
826,2787,Buroet,LOC
827,2808,Berlin,LOC
828,2809,Poulsen,PER
829,2810,Uffe,PER
830,2810,Guds,PER
831,2811,Peter,PER
832,2815,Trine,PER
833,2824,Trine,PER
834,2827,Gud,PER
835,2830,Trine,PER
836,2831,Trine,PER
837,2831,Gud,PER
838,2832,Uffe,PER
839,2832,Gud,PER
840,2832,Gud,PER
841,2833,Uffe,PER
842,2834,Trine,PER
843,2834,Gud,PER
844,2845,Gefr,ORG
845,2849,Varschau,LOC
846,2851,badgadsen,LOC
847,2851,Callesen,PER
848,2853,Gud,PER
849,2860,Grete,PER
850,2862,Brigade,ORG
851,2862,Gefr,ORG
852,2869,Callesen,PER
853,2875,Gud,PER
854,2877,Guds,PER
855,2880,Trine,PER
856,2882,Poulsens,PER
857,2898,Jørgen Jensen,PER
858,2898,Grete,PER
859,2910,Gustav Gert,PER
860,2918,Sandbjerg,LOC
861,2937,Peter,PER
862,2943,Tyskland,LOC
863,2953,Tyskland,LOC
864,2954,Thorn,PER
865,2957,Hejmdal,PER
866,2958,Callesen,PER
867,2959,buroet,LOC
868,2962,Hejmdal,PER
869,2962,Dannevirke,LOC
870,2962,Gud,PER
871,2964,Gud,PER
872,2967,Thøjsen,PER
873,2971,Trine,PER
874,2976,Tyskland,LOC
875,2977,Varschau,PER
876,2978,Hemming,PER
877,2978,Varschau,PER
878,2987,Østpreussen,LOC
879,3001,Gud,PER
880,3003,Gud,PER
881,3004,kanske,PER
882,3011,Trine,PER
883,3013,Peter,PER
884,3018,Ordonans,ORG
885,3031,cg,ORG
886,3038,østpreuser,LOC
887,3041,Søren Møller,PER
888,3056,Trine,PER
889,3057,Peter,PER
890,3059,Trine,PER
891,3061,Trine,PER
892,3061,Ablings,PER
893,3061,Skærbæk,LOC
894,3088,Guds,PER
895,3094,Gud,PER
896,3099,Berlin,LOC
897,3101,krads,PER
898,3108,Trine,PER
899,3111,Thomas Nielsen,PER
900,3112,Signe Lycke,PER
901,3114,Trine,PER
902,3120,Mærsk,PER
903,3127,tere,PER
904,3128,Peter,PER
905,3133,Peter,PER
906,3134,Peter,PER
907,3139,Trine,PER
908,3139,Peter,PER
909,3143,Peter,PER
910,3146,Gud,PER
911,3153,Trine,PER
912,3159,P. Jensen,PER
913,3160,Trine,PER
914,3164,Iver,PER
915,3170,Altona,LOC
916,3172,Conjak,PER
917,3179,Dombrova,LOC
918,3194,Trine,PER
919,3211,Trine,PER
920,3214,Trine,PER
921,3216,Gud,PER
922,3218,Gud,PER
923,3222,Ablings,ORG
924,3222,Skærbæk,LOC
925,3231,Peter,PER
926,3240,Trine,PER
927,3256,Gud,PER
928,3265,Trine,PER
929,3265,Thelephonen,PER
930,3267,Peter,PER
931,3282,Gud,PER
932,3284,Betlehem,LOC
933,3292,Tyskland,LOC
934,3293,Peter,PER
935,3300,Trine,PER
936,3300,Chr. Bejer Roager,PER
937,3312,Meiske,PER
938,3327,Berlin,LOC
939,3327,Sachsen,LOC
940,3327,Hanover,LOC
941,3336,Batl,LOC
942,3337,post,ORG
943,3340,Thelephonen,PER
944,3340,buroet,LOC
945,3342,Gud,PER
946,3347,Trine,PER
947,3359,N. Kjær,PER
948,3359,Sine,PER
949,3359,Hejmdal,ORG
950,3359,Thomsen,PER
951,3360,Katrine Midtgård,PER
952,3361,L. Abling,ORG
953,3362,Salmiak,PER
954,3367,Trine,PER
955,3367,Skærbæk,LOC
956,3374,Margrete Jørgensen Skærbæk,PER
957,3375,Hansen,PER
958,3375,Mathilde,PER
959,3375,Ellen,PER
960,3379,Jørgen Andersen,PER
961,3379,Bakkely,PER
962,3383,Laust Obling,PER
963,3385,Annis,PER
964,3396,Italien,LOC
965,3396,Paris,LOC
966,3397,Italien,LOC
967,3397,Italien,LOC
968,3397,Italien,LOC
969,3397,Frankrig,LOC
970,3398,Gud,PER
971,3414,Trine Kjems Gad,PER
972,3414,Ravnholt Roagger,PER
973,3414,Schleswig-Holst,PER
974,3427,Berlin,LOC
975,3428,Berlin,LOC
976,3442,Frandsen,ORG
977,3442,Skærbæk,LOC
978,3453,Warschau,LOC
979,3454,Hindenburg,LOC
980,3454,Warsrchau Kajseren,LOC
981,3462,Frankrig,LOC
982,3463,Berlin,LOC
983,3469,Trine,PER
984,3480,Berlin,LOC
985,3487,Feldposten,LOC
986,3501,Camilla,PER
987,3503,Røde Kors,ORG
988,3508,Gud,PER
989,3515,Trine,PER
990,3519,Ludvigs,PER
991,3520,Ludvigs,PER
992,3525,Callesen,PER
993,3525,Flensborg,LOC
994,3525,Poulsen,PER
995,3526,Nis Bek,PER
996,3526,Tyskland,LOC
997,3532,Maren,PER
